"max_pairwise_difference","max_pairwise_difference_excluding_ambiguous","max_variable_block_length","max_variable_block_length_excluding_ambiguous","min_pairwise_difference","min_pairwise_difference_excluding_ambiguous","theta","tajima_d","tajima_pi","segregating_sites"
96,162,162,162,1,5,0.1840554,162,1.869223,0.2895148
96,160,162,162,2,3,0.1840554,162,1.715456,0.2808395
97,161,162,162,3,9,0.1840554,162,2.010929,0.2975098
94,161,162,162,2,2,0.1840554,162,2.016628,0.2978313
106,161,162,162,0,3,0.1840554,162,1.786966,0.284874
100,161,162,154,1,2,0.1840554,162,1.528917,0.2703152
93,160,162,151,1,2,0.1840554,162,1.42543,0.2644766
93,161,162,162,2,4,0.1840554,162,1.423787,0.2643839
95,161,162,158,2,3,0.1840554,162,1.93608,0.2932869
100,161,162,162,3,7,0.1840554,162,2.047612,0.2995794
95,160,162,110,2,3,0.1840554,162,1.873079,0.2897324
93,161,162,162,1,1,0.1840554,162,1.907336,0.2916652
94,161,162,162,1,5,0.1840554,162,1.756075,0.2831312
93,160,162,162,2,2,0.1840554,162,1.811482,0.2862572
97,161,162,159,1,5,0.1840554,162,1.851822,0.2885331
95,160,162,109,1,3,0.1840554,162,1.478983,0.2674979
98,160,162,148,1,5,0.1840554,162,1.829903,0.2872965
96,160,162,162,1,3,0.1840554,162,1.775794,0.2842437
93,161,162,99,2,2,0.1840554,162,1.785958,0.2848172
94,161,162,162,2,6,0.1840554,162,1.881097,0.2901848
98,161,162,162,1,4,0.1840554,162,1.870508,0.2895874
97,160,162,149,3,3,0.1840554,162,1.676428,0.2786376
96,161,162,162,1,6,0.1840554,162,2.059062,0.3002254
99,161,162,162,2,2,0.1840554,162,1.863246,0.2891776
103,161,162,162,1,6,0.1840554,162,1.708804,0.2804642
99,161,162,162,0,1,0.1840554,162,1.711891,0.2806384
95,162,162,162,1,4,0.1840554,162,1.905984,0.2915889
96,159,162,162,2,2,0.1840554,162,1.753424,0.2829816
90,160,162,162,1,1,0.1840554,162,1.591282,0.2738338
92,159,162,162,1,3,0.1840554,162,1.641641,0.276675
95,160,162,161,1,4,0.1840554,162,1.689429,0.2793711
88,160,162,137,0,0,0.1840554,162,1.269053,0.255654
94,159,162,156,0,0,0.1840554,162,1.342391,0.2597916
82,159,162,88,0,0,0.1840554,162,0.9214191,0.2360408
94,160,162,104,0,0,0.1840554,162,1.237685,0.2538842
88,161,162,123,1,3,0.1840554,162,1.220497,0.2529145
88,161,162,152,1,2,0.1840554,162,1.558894,0.2720064
91,162,162,78,2,2,0.1840554,162,1.558735,0.2719975
90,161,162,162,2,2,0.1840554,162,1.542209,0.2710651
89,160,162,152,0,1,0.1840554,162,1.650255,0.2771609
92,160,162,119,0,4,0.1840554,162,1.375601,0.2616653
87,160,162,110,2,4,0.1840554,162,1.432255,0.2648616
88,160,162,71,0,6,0.1840554,162,1.39988,0.263035
85,160,162,162,1,1,0.1840554,162,1.162809,0.2496598
92,161,162,147,0,0,0.1840554,162,1.56014,0.2720767
98,161,162,162,0,1,0.1840554,162,1.268404,0.2556173
94,161,162,93,1,2,0.1840554,162,1.496476,0.2684849
96,160,162,162,1,1,0.1840554,162,1.666092,0.2780544
93,159,162,50,1,3,0.1840554,162,1.186637,0.2510041
85,160,162,113,0,0,0.1840554,162,1.310851,0.2580121
86,160,162,101,1,2,0.1840554,162,1.080632,0.2450234
92,159,162,87,1,2,0.1840554,162,1.132183,0.2479319
92,161,162,90,3,4,0.1840554,162,1.689508,0.2793756
93,160,162,162,0,1,0.1840554,162,1.562631,0.2722173
94,161,162,162,0,0,0.1840554,162,1.653581,0.2773486
92,161,162,105,2,3,0.1840554,162,1.570092,0.2726382
100,161,162,125,2,4,0.1840554,162,1.910702,0.2918551
83,159,162,49,1,3,0.1840554,162,1.187048,0.2510273
88,160,162,108,1,3,0.1840554,162,1.22711,0.2532875
87,159,162,41,0,1,0.1840554,162,0.5192122,0.2133488
87,159,162,70,0,1,0.1840554,162,1.029743,0.2421524
100,160,162,159,1,3,0.1840554,162,1.26737,0.255559
80,160,162,150,0,1,0.1840554,162,0.6787565,0.2223501
80,160,162,64,1,2,0.1840554,162,0.9855072,0.2396566
85,159,162,92,1,1,0.1840554,162,1.192627,0.2513421
83,160,162,162,0,1,0.1840554,162,1.00797,0.2409239
81,159,162,68,0,1,0.1840554,162,0.6974157,0.2234028
86,159,162,93,0,0,0.1840554,162,0.9395615,0.2370644
90,160,162,127,1,1,0.1840554,162,1.066505,0.2442264
86,160,144,66,0,3,0.1829192,161,1.152608,0.2475566
78,159,162,124,0,0,0.1840554,162,0.6033378,0.218095
90,162,162,162,0,1,0.1840554,162,1.476504,0.2673581
90,160,162,134,0,3,0.1840554,162,1.377616,0.2617789
86,161,162,157,0,1,0.1840554,162,1.280848,0.2563194
94,161,162,67,2,3,0.1840554,162,1.460429,0.2664512
77,159,162,81,1,2,0.1840554,162,0.9003612,0.2348528
80,161,162,54,0,1,0.1840554,162,0.7641277,0.2271666
78,156,162,69,0,0,0.1840554,162,0.4073099,0.2070354
81,158,120,57,0,1,0.1829192,161,0.6416245,0.218901
86,159,162,106,1,1,0.1840554,162,0.9542318,0.2378921
85,161,162,49,0,1,0.1840554,162,0.8764276,0.2335025
84,160,162,116,0,2,0.1840554,162,0.882855,0.2338651
88,160,162,105,0,1,0.1840554,162,1.04888,0.243232
84,160,162,159,0,2,0.1840554,162,0.8199596,0.2303166
78,156,162,103,0,0,0.1840554,162,0.5802788,0.2167941
85,159,162,134,1,1,0.1840554,162,1.006419,0.2408364
